REGION|REGION_LAT_LONG
MARANHAO|-5.080419;-45.6007108
BAHIA|-11.4098737;-41.2808577
AMAPA|2.0510817;-50.7944645
SERGIPE|-10.6738878;-37.4681396
ESPIRITO SANTO|-19.1834229;-40.3088626
DISTRITO FEDERAL|-15.826691;-47.92182039999999
MINAS GERAIS|-17.930178;-43.7908453
RIO GRANDE DO SUL|-29.534505;-53.3906074
ACRE|-9.0237964;-70.81199529999999
RIO DE JANEIRO|-22.9035393;-43.2095869
PERNAMBUCO|-8.8137173;-36.954107
TOCANTINS|-11.4098737;-48.71914229999999
CEARA|-5.4983977;-39.3206241
GOIAS|-15.9224663;-50.13790239999999
MATO GROSSO|-12.6818712;-56.921099
SANTA CATARINA|-26.928572;-49.36531489999999
PARANA|-25.2520888;-52.0215415
AMAZONAS|-3.4168427;-65.8560646
RIO GRANDE DO NORTE|-5.402580299999999;-36.954107
MATO GROSSO DO SUL|-20.7722295;-54.7851531
RONDONIA|-11.5057341;-63.580611
ALAGOAS|-9.5713058;-36.7819505
SAO PAULO|-23.5489433;-46.6388182
PIAUI|-8.322948799999999;-43.1747162
PARAIBA|-7.239960900000001;-36.7819505
RORAIMA|2.7375971;-62.0750998
PARA|-6.207102;-52.70279559999999
