cfop|HG0
familiacomercial|HG1
familiamaterial|HG2
grupodeestoque|HG3
canaldevenda|HGA
microregiao|HGB
regiaocomercial|HGD
rota|HGI
tabeladepreco|HGN
grupodecliente|HJ0
unidadenegocio|HJ1
transportadora|HJ2
transportadoraredespacho|HJ2
produtocomercial|HJ3
empresa|HJ4
moeda|HJ6
cliente|HJ7
item|HJ8
naturezadeoperacao|HJ9
condicaodepagamento|HJA
regiaogeografica|HJB
representante|HJC
referencia|HJH
situacaodecredito|HK1
estabelecimento|HKK
viatransportehgr|HGR
cenarioorcamentariohgz|HGZ
planodecontas1|HK5
unidadeorganizacional|HQ8
agentecargahkj|HKJ
despachantehkj|HKJ
fornecedorhkj|HKJ
corretorsegurohkj|HKJ
fornecedordespesa|HKJ
despachanteexteriorhkj|HKJ
fabricantehkj|HKJ
seguradorahkj|HKJ
transportadorainternacionalhkj1|HKJ
pontocontrolehgs|HGS
despesahgl|HGL
itinerariohgq|HGQ
incotermhgm1|HGM
cenariocontabil|HGY
hq9|HQ9
contacontabilhje|HJE
planocentrodecustohkf|HKF
unidadeorcamentariahq1|HQ1
se|HQ6
versaoorcamentohq7|HQ7
classevalorhg8|HG8
itemcontabilhg9|HG9
centrodecustohj5|HJ5
portador|HG4
especiedoc|HJG
modalidade|HJF
grupofornecedorhge|HGE
trechocontrole|HGT
situacaoexportacao|HGJ
naturezaexportacaohgp|HGP
classificacaodespesahgo|HGO
tipoitemhgc|HGC
tipopoderdeterceiro|HQX
tipomovimentohk6|HK6
hjz|HJZ
bancohgk|HGK
paisorigemhql|HQL
situacaoimportacao|HQM
tipoeventohqn|HQN
situacaocomprahqg|HQG
naturezacomprahqh|HQH
criticidadehgf|HGF
motivorejeicaophk0|HK0
faixasalarialhkg|HKG
categoriasalarialhjt|HJT
sindicatohjv|HJV
turnohju|HJU
maodeobrahjq|HJQ
instituicaohjn|HJN
instrutorhjo|HJO
cursohjl|HJL
tipocursohg6|HG6
estadocivilhke|HKE
faixaetariahk8|HK8
graudeinstrucaohk9|HK9
nivelhierarquicohg5|HG5
relacaotrabalhohkd|HKD
tempocasahkh|HKH
tempocargohki|HKI
cargohjp|HKP
localidadehqo|HQO
planolotacaohqp|HQP
unidadelotacaohqt|HQT
secaohq0|HQ0
bolsadeestudohqa|HQA
motivotreinamentohqr|HQR
tipohorashji|HJI
prestadorservicohqq|HQQ
eventohjr|HJR
situacaocolaboradorhka|HKA
tipomotivohg7|HG7
statusrequisicaohqe|HQE
tiporequisicaohqd|HQD
motivoafastamentohjs|HJS
colaboradorhjm|HJM
reclamantehjm|HJM
linhadeproducaohgg|HGG
planejadorhjx|HJX
tipoproducaohqu|HQU
operacaohqc|HQC
grupomaquinahjy|HJY
tipomaodeobrahgh|HGH
depositohjd|HJD
tipodetransportehhx|HHX
tipodeocorrenciaho8|HO8
tipodependenciahhy|HHY
veiculoshhz|HHZ
regiaotransporteorigemho0|HO0
servicotransporteho1|HO1
servicooperacionalho3|HO3
tarefaho4|HO4
atividadeho5|HO5
tipooperacaoho6|HO6
viagemho7|HO7
filialorigemho9|HO9
statusentregahoa|HOA
tipodocumentodetransporteho2|HO2
atendentehoh|HOH
postohoi|HOI
contratohoj|HOJ
areadopostohok|HOK
situacaodocontratohol|HOL
situacaodoatendentehom|HOM
tipodecontratohon1|HON
statusdopostohoo|HOO
tipoderecursodaprestacaodeservicohop|HOP
faixadehorahs8|HS8
formadepagamentohs9|HS9
origemdolancamentohs7|HS7
canaldemidiahs6|HS6
statusdaoportunidadehsg|HSG
probabilidadedesucessohsh|HSH
statusdapropostacomercialhsi|HSI
statusdoestagiohsj|HSJ
statusdaatividadehsk|HSK
tipodeatividadehsl|HSL
oportunidadedevendahsm|HSM
processodevendahsn|HSN
equipedevendahso|HSO
unidadecomercialhsp|HSP
usuariohsq|HSQ
prospecthsr|HSR
unidadedemedidadoitemhhw|HHW
